CLIENT_ID,COMPANY_NAME,CLIENT_TYPE,CONTACT_NAME,EMAIL,PHONE,ADDRESS,CITY,POSTAL_CODE,SIRET,CREATED_AT
30,Seguin Hôpital,PUBLIC,Geneviève Bousquet,lauredeschamps@example.net,+33 2 37 04 70 95,"chemin Océane Legros, 22305 Gimenez",Laporte,64379,,2021-12-15
31,Leduc Université,PUBLIC,Jean Noël du Sanchez,oliviejean@example.net,04 97 16 04 81,"79, chemin de Nicolas, 86339 Laurentboeuf",Louis-sur-Jourdan,09750,,2024-07-03
32,Delahaye,PRIVATE,Céline Joly,morelthibaut@example.com,+33 (0)2 37 38 26 75,"26, boulevard Anouk Guyot, 05806 Carpentier",Hebert-sur-Mer,46201,585 064 314 00875,2024-06-03
33,Dupré S.A.,PRIVATE,Aimée Girard Le Berger,simonemoreno@example.org,+33 (0)3 60 93 35 29,"92, rue Frédéric Peltier, 04234 Sainte Sophie",Pruvost,41116,402 681 175 00228,2024-05-14
34,Blanchet Lycée,PUBLIC,Catherine-Stéphanie Gaudin,laetitiabertrand@example.net,0633007661,"21, boulevard William François, 17381 Couturier-sur-Mary",Mendèsboeuf,48711,,2025-01-25
35,De Sousa Mairie,PUBLIC,Philippine de Boutin,beguemanon@example.net,+33 5 79 73 65 76,"6, chemin Margot Adam, 47256 MercierBourg",Saint AuroreBourg,95856,,2023-09-22
36,Berthelot Collège,PUBLIC,Théodore Guilbert,marguerite16@example.com,01 77 49 45 19,"23, boulevard Alexandrie Noël, 97245 Jean-sur-Gilbert",GosselinVille,77773,,2022-10-30
37,Arnaud SARL,PRIVATE,Jean Marty de Arnaud,genevievedescamps@example.com,+33 (0)2 72 01 83 66,"55, chemin de Diallo, 72710 Saint Honoré-les-Bains",Girard-sur-Parent,11378,679 764 381 00563,2021-07-10
38,Perret Collège,PUBLIC,Guy Potier,qlaine@example.com,+33 (0)3 66 69 00 34,"64, rue Mahe, 95540 Dumont",Rossi-sur-Mer,64672,,2023-07-27
39,Sainte NicoleVille Collège,PUBLIC,Agnès Jacques,bouvierhortense@example.com,05 59 41 60 52,"71, rue Nguyen, 75510 Chevaliernec",Vallet,43326,,2023-05-22
40,Garnier Hôpital,PUBLIC,Céline de la Diallo,adele23@example.org,+33 3 88 32 92 12,"697, chemin de Fernandes, 56169 Pichon-la-Forêt",Maury,08460,,2024-11-14
41,Ruiz S.A.R.L.,PRIVATE,Alex Boyer,veronique41@example.net,+33 (0)5 31 79 80 79,"378, avenue Henry, 43831 Saint Augustin-sur-Mer",Navarro-les-Bains,46481,665 905 154 00365,2021-05-11
42,Jacquet,PRIVATE,Vincent-Thibaut Gérard,edouard92@example.com,0535291486,"916, rue Agnès Ruiz, 23319 Gosselin",Olivier-sur-Mer,18258,418 880 597 00095,2021-09-02
43,Brunet,PRIVATE,Éric Jacquot,michellenavarro@example.org,04 95 37 94 73,"63, boulevard de Besnard, 59887 Merle",Gaudinnec,20936,924 075 815 00259,2024-12-10
44,Sainte Émile-les-Bains Préfecture,PUBLIC,Maurice-Pierre Caron,orobin@example.com,0153606853,"rue Antoine Julien, 13959 Rodrigues",Morel,36949,,2024-07-28
45,Thierry Munoz S.A.R.L.,PRIVATE,Adèle Chevalier,bouchermartin@example.org,02 46 43 41 03,"271, boulevard Élise Durand, 80627 Guillot-sur-Wagner",Klein,54101,539 621 854 00782,2021-02-17
46,DevauxVille Lycée,PUBLIC,Sylvie Bertrand,qbesson@example.net,+33 (0)4 91 15 31 95,"boulevard Yves Weiss, 22950 Grenierdan",Dufour,09833,,2024-06-12
47,Cousin S.A.,PRIVATE,Eugène Dupont,thierry86@example.net,03 86 03 45 05,"avenue Andrée Bernier, 56495 Lemoine",Jacquotdan,47916,416 169 282 00660,2023-01-20
48,Henry Université,PUBLIC,Isaac Peltier,thibault79@example.net,03 21 75 70 59,"2, avenue de Marchal, 65920 Martinez",Raynaud,86900,,2024-04-13
49,Saint Daniel Université,PUBLIC,Tristan Poulain-Étienne,cduhamel@example.net,+33 6 25 57 19 28,"44, rue Guyon, 23611 ChevallierBourg",Becker,33820,,2024-05-08
50,Raymond Conseil Départemental,PUBLIC,Patrick Bourgeois de Dufour,sauvagejerome@example.net,02 32 55 18 84,"95, rue Bourgeois, 18342 Michelboeuf",Baudryboeuf,59922,,2025-03-31
51,Raymond Fernandez SA,PRIVATE,Louis Wagner du Laine,alecoq@example.net,+33 (0)2 54 51 77 85,"722, rue de Denis, 66256 Gaillard",Breton,90330,841 438 427 00442,2023-02-17
52,Gaudin et Fils,PRIVATE,Théodore Blin,jeandelmas@example.net,0172010943,"8, boulevard de Charpentier, 82409 Moulinnec",De Sousa,10805,276 773 595 00075,2021-10-11
53,Wagner,PRIVATE,Marie Alexandre,patricialemaitre@example.net,+33 (0)4 72 37 14 73,"chemin Jacob, 78528 Leroux",Verdier,92420,278 774 708 00244,2021-04-27
54,Bodindan Lycée,PUBLIC,Franck Guillon-Benard,girardroland@example.com,04 38 80 16 24,"70, boulevard Guilbert, 24471 HervéBourg",Bodindan,97280,,2022-12-08
55,Rodriguez SA,PRIVATE,Michelle Maillot,olivie23@example.net,01 70 00 25 78,"682, chemin de Goncalves, 50731 Allain",Guillou,65645,947 055 166 00625,2025-07-09
56,Pages Conseil Départemental,PUBLIC,Théophile Reynaud,marcelle99@example.org,+33 (0)6 95 28 96 23,"4, avenue Bouvier, 53255 Blot-sur-Mer",Charrierdan,94844,,2021-01-31
57,Paul Collège,PUBLIC,Roger Le Dupré,ylaine@example.com,+33 6 34 85 85 49,"94, rue Théophile Pires, 36821 Blot",Prévostdan,44673,,2022-11-18
58,Rivière,PRIVATE,Monique-Nicole Barre,stephanedupont@example.com,+33 (0)4 86 74 73 38,"22, boulevard de Dupuis, 31151 Jean-sur-Mer",Saint Antoinette,42834,120 826 771 00608,2022-04-02
59,Lebrun,PRIVATE,Tristan Lopez de Gilles,elisabethrousset@example.net,+33 (0)3 25 62 06 72,"chemin Duhamel, 77209 Jacquet",Clercdan,18971,743 152 746 00645,2022-02-20
60,Gallet SARL,PRIVATE,Roland Parent de la Roger,glaunay@example.com,+33 (0)5 47 12 27 53,"83, chemin Thibaut Guillon, 92686 Sainte Marcelle",Jacquot,30163,174 268 417 00857,2023-01-24
61,Bonneau Conseil Départemental,PUBLIC,Frédéric Lucas-Martel,cecileletellier@example.net,0558878339,"68, boulevard Marie, 08948 Bodin-sur-Mer",Regnier-sur-Gérard,21435,,2024-12-24
62,Ferreira,PRIVATE,Stéphane du Robin,dlefevre@example.org,06 32 90 87 40,"4, rue de Lambert, 54452 Saint Danieldan",Sainte Anouk,23887,656 766 185 00176,2021-09-08
63,Lemaire Lycée,PUBLIC,René Carlier,nathaliehubert@example.org,+33 (0)4 56 78 68 63,"52, rue David, 84529 Gosselin-sur-Durand",Leclerc,09203,,2020-11-03
64,Joseph,PRIVATE,Gérard Traore,marechalbrigitte@example.org,+33 1 79 28 43 95,"92, avenue Ribeiro, 35162 Maury-les-Bains",Berthelotdan,07452,685 662 462 00827,2022-02-13
65,Guillot,PRIVATE,Henri Neveu-Meunier,jboyer@example.com,02 58 63 43 51,"9, rue de Roux, 34486 Marion-sur-Fournier",Saint Suzanne-sur-Mer,61313,403 317 399 00422,2022-04-18
66,Dupuis,PRIVATE,Margot Diallo-Carre,iturpin@example.net,0466458771,"65, rue Geneviève Louis, 94249 Sainte Françoise",Delorme-sur-Fouquet,53402,353 693 781 00190,2023-06-05
67,Ledoux Préfecture,PUBLIC,Victoire Jacques,nathbenard@example.org,+33 7 52 80 80 10,"23, rue de Petit, 27617 BessonVille",Diaz-sur-Martineau,78594,,2024-09-14
68,Saint Élisabeth Conseil Départemental,PUBLIC,Olivie Richard-Durand,elise40@example.net,03 27 11 82 33,"26, avenue Céline Moreno, 31813 Ribeiro",Saint Éricnec,48486,,2025-04-04
69,Lefèvre,PRIVATE,Émile Perez,pgay@example.com,+33 (0)1 72 33 97 40,"18, chemin Durand, 26701 Chrétien",Garnier-la-Forêt,20677,968 562 181 00303,2023-07-01
70,Perrin S.A.R.L.,PRIVATE,Auguste Leblanc-Texier,ubecker@example.org,0627358662,"chemin de Hoarau, 91175 Sainte Honorénec",Rousset,49424,110 475 415 00466,2021-09-06
71,Lemoine S.A.R.L.,PRIVATE,Odette Henry,blancadrienne@example.net,+33 (0)4 75 60 46 61,"326, chemin Hernandez, 34604 Andre",Gay,35531,715 437 992 00384,2022-03-21
72,Gautier,PRIVATE,Henri Robert,nle-roux@example.com,0590569245,"72, chemin Nathalie Lemonnier, 81602 Berger-sur-Germain",Guyotnec,46216,398 280 735 00729,2024-04-14
73,Jacquot Conseil Départemental,PUBLIC,Lucas Maillet,ojoly@example.com,+33 3 86 26 61 79,"98, avenue de Devaux, 05909 Boutin",ValentinBourg,14887,,2022-09-01
74,Brun,PRIVATE,Amélie Thibault du Chrétien,stephanie61@example.org,+33 (0)3 89 38 88 99,"86, boulevard de Blot, 64254 Laurent",Duval-la-Forêt,53187,254 573 876 00144,2023-07-09
75,Pereiradan Collège,PUBLIC,Margaud Mercier,benjamin10@example.com,+33 (0)3 20 38 28 25,"36, avenue Delaunay, 04855 Philippe-sur-Lebreton",Gilbert-sur-Perrier,01821,,2022-05-20
76,Lopes Collège,PUBLIC,Sébastien Henry,aimeegermain@example.org,02 48 47 85 96,"6, avenue Laure Giraud, 86822 Bonneau",Clément-sur-Maillet,18420,,2021-07-23
77,Schneider Conseil Départemental,PUBLIC,Éric Besson,daniellechevallier@example.com,+33 5 31 62 78 28,"32, avenue Laure Vincent, 45109 Dufour-sur-Mer",Guilbertdan,52801,,2024-09-26
78,Lacombedan Collège,PUBLIC,Danielle Perez,samsonmatthieu@example.com,+33 (0)4 26 38 42 79,"219, boulevard Valentine Poulain, 69942 Sainte Émilie",Lamy,14853,,2022-08-30
79,David,PRIVATE,Julie Lévêque,navarrogeorges@example.org,+33 4 88 96 29 23,"chemin de Rossi, 35711 Royboeuf",Charpentier,73373,126 042 233 00653,2021-10-19
80,Hoarau Hôpital,PUBLIC,Victoire Blanchard,lorraine66@example.com,+33 (0)2 35 68 45 77,"2, avenue de Bousquet, 85814 Andre",Chauvin-sur-Mer,54944,,2022-05-11
81,Royer,PRIVATE,Lorraine Marques,genevievevallee@example.com,+33 (0)1 74 17 01 27,"rue Marie Payet, 83409 Paris",Sainte PhilippeBourg,47780,206 436 115 00839,2020-07-25
82,Martel Garnier S.A.,PRIVATE,Hélène-Simone Petit,grenierzacharie@example.org,02 57 71 36 11,"34, rue Lucy Labbé, 19170 ThibaultVille",Delahaye-sur-Gaillard,56459,326 973 112 00922,2021-09-30
83,Pruvost et Fils,PRIVATE,Marine Gilbert,sophie23@example.com,+33 (0)3 84 89 99 40,"498, avenue de Collet, 82155 Costa",Marie-sur-Mer,63753,180 552 697 00765,2024-02-19
84,Morvan Lycée,PUBLIC,Noël Pires,durandjacqueline@example.org,+33 (0)4 11 30 06 84,"91, boulevard de Brunet, 35185 Chevalier",Martins-les-Bains,68434,,2023-11-17
85,Couturier-sur-Ledoux Lycée,PUBLIC,Honoré Rocher,pchauveau@example.org,+33 2 32 61 79 90,"11, rue de Boutin, 02267 Perrot-la-Forêt",Guichard,17867,,2022-11-04
86,Pires SA,PRIVATE,Pénélope Maillard,charlesmichele@example.net,+33 (0)7 97 85 07 92,"21, boulevard Bernard, 06979 Saint Benjamin",Marchalnec,20283,863 536 546 00048,2021-03-20
87,Mathieu,PRIVATE,Anastasie de la Hubert,marechaldaniel@example.com,0468518705,"449, chemin Jeanne Teixeira, 97335 Samson-sur-Mer",Robert,52124,850 506 411 00295,2022-04-20
88,Gomeznec Préfecture,PUBLIC,Anne Blanchard,eric03@example.net,05 08 71 91 82,"boulevard de Bonnet, 55778 Gomez",Bertin,40920,,2023-11-24
89,Prévost,PRIVATE,Laetitia Rey,renaudgregoire@example.net,+33 (0)2 96 12 77 56,"83, avenue Rémy Mathieu, 12261 Fischer",Fournier-sur-Fabre,41251,356 804 427 00116,2020-10-26
90,Sauvage-sur-Mer Hôpital,PUBLIC,Nicolas Henry,gerardrichard@example.org,+33 2 56 36 51 99,"rue Philippe, 82554 Morin",Rivière,06572,,2020-12-26
91,Baudry Lycée,PUBLIC,Nicole Mahe,webermaggie@example.com,+33 4 90 32 44 72,"593, avenue Emmanuelle Voisin, 08189 Jacob",Humbert,25758,,2025-01-10
92,Lombard Devaux SA,PRIVATE,Martine Voisin,kbarre@example.net,0533420593,"8, chemin de Gosselin, 74338 Roussel",Descamps,30372,039 652 235 00688,2023-04-06
93,Maury Université,PUBLIC,Joseph Duhamel,genevieveroche@example.com,0325701039,"avenue de Martin, 42728 Dumont",Wagner,22921,,2023-04-23
94,Saint William Collège,PUBLIC,Claire-Cécile Laine,david56@example.net,+33 (0)4 81 45 22 67,"495, boulevard de Roger, 48414 Rodriguez",Chauveau,01818,,2025-06-05
95,Pires,PRIVATE,Alexandria-Édith Marion,suzanne93@example.net,+33 (0)7 92 51 35 52,"17, rue Paul Jacquot, 09458 Nicolas",Saint Alice,56850,267 658 615 00534,2024-08-19
96,Gilles-sur-Thierry Conseil Départemental,PUBLIC,Édouard Sauvage-Legrand,cousinalphonse@example.com,0243152621,"197, rue Julie Gay, 20154 Sainte Lucas-sur-Mer",Grenier-la-Forêt,84388,,2023-01-31
97,Pereira Girard S.A.R.L.,PRIVATE,Victoire-Colette Vincent,adrien61@example.com,03 56 10 32 41,"avenue Charlotte Camus, 84371 Sainte Julienboeuf",Lemaître-les-Bains,57145,774 349 021 00337,2021-05-18
98,Sainte Susannec Université,PUBLIC,Henriette-Anne Chevallier,rregnier@example.com,+33 6 74 16 08 98,"rue Jacques Lecomte, 24229 Sainte Édouard",Renaud-les-Bains,76364,,2023-04-11
99,Saint Amélienec Université,PUBLIC,Marguerite Baron-Dijoux,yrichard@example.net,02 47 62 29 99,"rue de Renault, 68452 Aubrynec",Massedan,05276,,2022-11-24
100,Meunier,PRIVATE,Noémi Morel du Rémy,benoitvallet@example.com,0508054447,"84, chemin Nathalie Delattre, 77761 Saint Capucine-sur-Mer",Traoredan,97276,082 148 628 00470,2025-01-05
101,Giraud S.A.,PRIVATE,Antoine de la David,xgirard@example.net,+33 4 26 57 86 10,"89, avenue Coste, 70458 Goncalves",Bouvet,88192,060 293 339 00366,2022-04-25
102,Gilles Mairie,PUBLIC,Aimée Valette,reynaudgilles@example.net,+33 1 41 34 94 46,"44, chemin Margaret Dijoux, 79506 Henry-sur-Robert",Dupréboeuf,71762,,2022-12-17
103,Pottier,PRIVATE,Olivier Andre,robert54@example.com,0345283096,"80, chemin Astrid Lebon, 49854 Saint Zacharie",Torres,68753,584 282 412 00603,2024-07-23
104,Traore Poirier et Fils,PRIVATE,Édith Bazin-Daniel,louisadrienne@example.org,0562554947,"2, rue Constance Mathieu, 87490 Légernec",Saint Guillaume,25450,972 521 751 00529,2022-01-22
105,Couturier Mairie,PUBLIC,Adrien Sauvage,marc29@example.org,02 33 29 66 66,"1, rue de Foucher, 47114 Boulay",AubertVille,86104,,2022-09-03
106,Lemonnier Université,PUBLIC,Marcelle Dumont,jacobconstance@example.net,0321104478,"85, rue Jacques Antoine, 03333 Petitjean",Lecomte,93122,,2024-11-05
107,Denis Mairie,PUBLIC,Alex Mallet,penelope89@example.org,+33 (0)2 45 00 16 76,"37, rue Hernandez, 53777 Sainte Laurence-les-Bains",DuvalBourg,36216,,2021-06-17
108,Philippe,PRIVATE,Émilie Merle Le Barbe,agathefischer@example.com,0299087375,"rue Masson, 73785 GérardBourg",SanchezBourg,32759,744 701 202 00296,2023-01-10
109,Labbé Collège,PUBLIC,Pénélope Rousset,gauthierclaude@example.org,+33 (0)2 62 25 57 94,"22, avenue Cécile Maillard, 49806 De Oliveira-les-Bains",Saint MartheVille,20206,,2024-02-04
110,Guillet-sur-Colas Conseil Départemental,PUBLIC,Édith Bourdon,wmerle@example.net,+33 (0)2 56 77 16 70,"90, boulevard de Ramos, 72329 Paul",LagardeBourg,55777,,2022-09-02
111,Perrot,PRIVATE,Clémence Pascal,duboislucy@example.org,07 82 17 53 54,"78, rue Édouard Jacques, 56920 Pons-sur-Blanc",Cohenboeuf,16609,016 608 804 00957,2021-04-30
112,Maurice-sur-Diaz Préfecture,PUBLIC,Pierre Guilbert de la Bègue,xleblanc@example.org,+33 6 31 58 99 75,"rue Bernard, 43463 Lévy",BessonBourg,06268,,2024-09-28
113,Wagner Bernier et Fils,PRIVATE,Catherine Adam,laurentmathieu@example.com,+33 6 33 35 16 09,"99, avenue Thomas, 67853 Sainte Virginie",Guillet-sur-Grégoire,97432,922 169 958 00886,2024-11-04
114,Humbert-sur-Mer Université,PUBLIC,Louis-Jean Cousin,ilucas@example.com,0469833394,"92, chemin de Lacombe, 15879 Guilbert",Guillonnec,86865,,2025-02-04
115,Briand Lycée,PUBLIC,Raymond Gautier,weberwilliam@example.org,+33 (0)3 56 42 44 20,"805, boulevard Parent, 94675 Bernier",Perrier-sur-Mer,65903,,2023-01-01
116,Weber S.A.R.L.,PRIVATE,Margaux Courtois,richardnoemi@example.com,+33 5 94 35 98 93,"22, rue Guyon, 65222 Fourniernec",Berthelot,33233,940 572 027 00206,2023-04-20
117,Becker et Fils,PRIVATE,Madeleine Marin Le Legrand,edith32@example.net,+33 (0)2 98 68 86 15,"65, rue Odette Maurice, 67586 ChrétienVille",Sainte Caroline-sur-Mer,82728,305 616 484 00799,2022-12-17
118,Blondel SARL,PRIVATE,Dominique du Coulon,colletmanon@example.org,0230128801,"26, boulevard Boutin, 94893 JourdanBourg",Laurent,58834,011 024 817 00428,2025-06-12
119,Poirier Cordier S.A.R.L.,PRIVATE,Océane Lesage,alfred61@example.net,+33 (0)1 83 90 15 81,"29, avenue Alex Delaunay, 84131 Barbier-sur-Mer",Letellier,50915,424 508 828 00698,2021-08-08
120,Thomas S.A.S.,PRIVATE,Nathalie Tanguy de Schneider,oceanetraore@example.net,0362682223,"3, boulevard de Vincent, 97180 ImbertBourg",Leconte,09356,397 552 316 00127,2022-12-24
121,Muller-sur-Leclercq Conseil Départemental,PUBLIC,Véronique Lebreton,laetitia49@example.org,0470620533,"62, avenue Caroline Pelletier, 97449 CourtoisBourg",Imbert,77183,,2022-12-10
122,Tanguy Mairie,PUBLIC,Gilles de Petitjean,moreauclaude@example.net,+33 (0)5 53 93 08 48,"75, boulevard Peron, 37237 CharrierBourg",MarchalVille,84344,,2021-12-19
123,Cohen Leroux S.A.,PRIVATE,Claudine-Valérie Pelletier,vasseurpatricia@example.com,+33 1 83 45 30 38,"17, chemin Henry, 90633 Traore",Delorme,69683,665 918 462 00227,2022-06-14
124,Lebonboeuf Université,PUBLIC,Véronique Leduc,charrierguillaume@example.com,+33 3 71 18 43 22,"713, rue Christine Parent, 61590 Maury",Jourdan,52122,,2022-08-18
125,Saint Henriette Université,PUBLIC,Corinne-Christiane Lombard,baudrywilliam@example.org,+33 3 89 28 69 90,"avenue Seguin, 60988 Picard-sur-Mer",Brunel-les-Bains,74940,,2022-02-07
126,Delmas-sur-Gros Mairie,PUBLIC,Émile-Zacharie Le Goff,lgodard@example.org,+33 5 18 62 10 38,"812, boulevard de Morel, 97678 ChrétienBourg",Sainte Margaux-les-Bains,77652,,2020-07-25
127,Barbenec Lycée,PUBLIC,Amélie Rocher,zrolland@example.com,04 88 99 16 24,"5, boulevard de Lejeune, 32293 Saint Hortense",LemaireVille,48770,,2022-04-21
128,Lejeune Conseil Départemental,PUBLIC,Catherine Meyer,lgilles@example.com,0563959463,"672, boulevard de Guillet, 32414 Barre-sur-Becker",Guyon-les-Bains,84221,,2022-07-05
129,Bonnin-les-Bains Mairie,PUBLIC,Franck Grégoire,zmaillot@example.net,+33 (0)2 99 60 12 79,"chemin Louis, 47181 Morel-sur-Ramos",Maréchal-la-Forêt,91711,,2021-01-16
130,Riou Costa S.A.R.L.,PRIVATE,Eugène Descamps,leon09@example.net,+33 3 22 05 30 21,"76, rue de Paul, 02854 Saint Emmanuelle-la-Forêt",Guillonboeuf,44935,393 769 047 00357,2022-01-16
131,GuillouBourg Université,PUBLIC,Arnaude Gaudin-Cousin,gabriel84@example.net,0594697357,"8, chemin Mercier, 48748 Labbé",Gomes,52461,,2024-12-12
132,Petit-la-Forêt Préfecture,PUBLIC,Guy Morin-Alexandre,denis82@example.com,0490394237,"44, rue Menard, 79464 Merle",Saint Édouarddan,78106,,2025-02-28
133,Leduc SARL,PRIVATE,Margaux Teixeira Le Marin,paulettegros@example.com,03 67 92 08 67,"36, rue Marthe Paul, 58423 Saint Margot",Gillet,74203,594 284 341 00411,2024-07-25
134,Le Goff-sur-Poulain Université,PUBLIC,Paul Lamy,astridbonnin@example.com,0547472929,"chemin de Huet, 71542 Pierre-les-Bains",Reynaud,02280,,2024-02-21
135,Lucasboeuf Lycée,PUBLIC,Lucy Deschamps,chauvineugene@example.net,+33 1 81 34 71 75,"98, chemin Alphonse Bouchet, 16459 Philippe-sur-Verdier",Delahaye-sur-Delahaye,68278,,2022-12-23
136,Germain,PRIVATE,Véronique du Chevalier,sbonneau@example.com,+33 3 21 56 99 61,"63, chemin Mathilde Da Costa, 77760 Dupuydan",Letellier,75633,622 023 414 00577,2022-05-07
137,Chauvin Collège,PUBLIC,Benoît Andre,dlevy@example.org,02 30 14 92 16,"84, rue de Payet, 67958 Leroy",Sainte Victor,60578,,2025-02-25
138,Lévy,PRIVATE,Christiane Rocher,jeannegodard@example.com,04 67 57 83 17,"34, rue Adrien Barbe, 97227 Renault",JoubertVille,88603,740 649 306 00967,2025-03-21
139,Roche,PRIVATE,Renée Delaunay,isaacauger@example.net,05 18 34 16 38,"446, rue Dufour, 37213 Mauricedan",Bonnin,79603,502 080 211 00241,2022-12-15
